true_label,network,branch_prob_normal,branch_prob_primary,branch_prob_metastatic,true_class_branch_prob,margin_vs_best_other_class
metastatic,metastatic,0.2101135809313167,0.36555746468630707,0.42432895031842316,0.42432895031842316,0.058771485632116094
metastatic,normal,0.20524349740960382,0.3581384203650735,0.43661810051311145,0.43661810051311145,0.07847968014803797
metastatic,primary,0.21380187503316186,0.3565328988161954,0.42966521870006213,0.42966521870006213,0.07313231988386676
normal,metastatic,0.4859250336885452,0.3134578838944435,0.20061708381399512,0.4859250336885452,0.17246714979410172
normal,normal,0.47052058577537537,0.31513654440641403,0.2143428698182106,0.47052058577537537,0.15538404136896133
normal,primary,0.49101167172193527,0.3050825912505388,0.20390576403588057,0.49101167172193527,0.18592908047139645
primary,metastatic,0.31627643427678515,0.3651931184743132,0.3185304533690214,0.3651931184743132,0.04666266510529177
primary,normal,0.3082594954009567,0.3582055653844561,0.3335349378841264,0.3582055653844561,0.024670627500329667
primary,primary,0.3226539524538176,0.3530241314853941,0.3243219165929726,0.3530241314853941,0.028702214892421474
