source,target,source_type,target_type,edge_type,regulatory_type,weight,mi_value,mi,pearson_r,pearson_p,pearson_p_fdr,miRDB_score,comparison
hsa-let-7c,hsa-miR-2117,miRNA,miRNA,miRNA-miRNA,,0.7427590740982141,,,0.7427590740982141,1.1275456644873851e-06,3.1846406109111268e-06,,
hsa-let-7c,hsa-miR-145,miRNA,miRNA,miRNA-miRNA,,0.7203295346820786,,,0.7203295346820786,3.3440702974241975e-06,8.231715759793431e-06,,
hsa-let-7c,hsa-miR-19b,miRNA,miRNA,miRNA-miRNA,,0.7201367359623498,,,0.7201367359623498,3.373948717251072e-06,8.272065948417146e-06,,
hsa-let-7c,hsa-miR-494 (+++ See note below),miRNA,miRNA,miRNA-miRNA,,0.7169751801385736,,,0.7169751801385736,3.899776459281339e-06,9.374912796771767e-06,,
hsa-let-7c,hsa-miR-15a,miRNA,miRNA,miRNA-miRNA,,0.7150472021155284,,,0.7150472021155284,4.255887090660711e-06,1.0079732583143788e-05,,
hsa-let-7c,hsa-miR-548g,miRNA,miRNA,miRNA-miRNA,,0.7137880382679771,,,0.7137880382679771,4.50413164546568e-06,1.06112042588765e-05,,
hsa-let-7c,hsa-miR-15b,miRNA,miRNA,miRNA-miRNA,,0.7114222163120257,,,0.7114222163120257,5.006382466928644e-06,1.1650529796658465e-05,,
hsa-let-7c,hsa-miR-532-5p,miRNA,miRNA,miRNA-miRNA,,0.7111290219605709,,,0.7111290219605709,5.072040519648487e-06,1.1789624074980958e-05,,
hsa-let-7c,hsa-miR-154,miRNA,miRNA,miRNA-miRNA,,0.6990881042107303,,,0.6990881042107303,8.54692627739807e-06,1.8694942512823197e-05,,
hsa-let-7c,hsa-miR-130b,miRNA,miRNA,miRNA-miRNA,,0.6958005613185685,,,0.6958005613185685,9.812878149934744e-06,2.1186294873578785e-05,,
hsa-let-7c,hsa-miR-16 (+++ See note below),miRNA,miRNA,miRNA-miRNA,,0.6956268324358253,,,0.6956268324358253,9.884269238660123e-06,2.131744658095519e-05,,
hsa-let-7c,hsa-miR-125b,miRNA,miRNA,miRNA-miRNA,,0.6954473219539596,,,0.6954473219539596,9.958529527950141e-06,2.1442962773892642e-05,,
hsa-let-7c,hsa-miR-106a+hsa-miR-17,miRNA,miRNA,miRNA-miRNA,,0.6920944904072653,,,0.6920944904072653,1.1441605978041373e-05,2.4288090149648778e-05,,
hsa-let-7c,hsa-miR-96,miRNA,miRNA,miRNA-miRNA,,0.6900092827336253,,,0.6900092827336253,1.2461892797604055e-05,2.6218356185307084e-05,,
hsa-let-7c,hsa-miR-146a,miRNA,miRNA,miRNA-miRNA,,0.6828065326280334,,,0.6828065326280334,1.6650499330164478e-05,3.3831555198684785e-05,,
hsa-let-7f,hsa-miR-27a,miRNA,miRNA,miRNA-miRNA,,0.940906105925153,,,0.940906105925153,1.1958582509992105e-15,1.3811230739203226e-13,,
hsa-let-7f,hsa-miR-26b,miRNA,miRNA,miRNA-miRNA,,0.9332119419280396,,,0.9332119419280396,7.119739458223261e-15,6.48058102958731e-13,,
hsa-let-7f,hsa-miR-98,miRNA,miRNA,miRNA-miRNA,,0.9243219203856905,,,0.9243219203856905,4.368877342278119e-14,2.3968977747703927e-12,,
hsa-let-7f,hsa-miR-374b,miRNA,miRNA,miRNA-miRNA,,0.9148679870420026,,,0.9148679870420026,2.3948139683017317e-13,9.88786592066849e-12,,
hsa-let-7f,hsa-miR-497,miRNA,miRNA,miRNA-miRNA,,0.9073250592303764,,,0.9073250592303764,8.127063948714216e-13,2.555615895377013e-11,,
hsa-let-7f,hsa-miR-490-3p,miRNA,miRNA,miRNA-miRNA,,0.9067374556449774,,,0.9067374556449774,8.899409210618758e-13,2.6798596908667762e-11,,
hsa-let-7f,hsa-miR-195,miRNA,miRNA,miRNA-miRNA,,0.9043576403145555,,,0.9043576403145555,1.2776966355764524e-12,3.529086224471512e-11,,
