condition,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std
real,0.9361702127659575,0.0,0.9229946524064171,0.0
permuted,0.9106382978723404,0.008510638297872353,0.8979843175382755,0.008016082804160485
no_edges,0.9148936170212766,0.0,0.9019923589403556,0.0
