sample_id,true_label,pred_label,network,branch_prob_normal,branch_prob_primary,branch_prob_metastatic
Mets_1,metastatic,metastatic,normal,0.23940834403038025,0.3898842930793762,0.37070736289024353
Mets_1,metastatic,metastatic,primary,0.23034074902534485,0.36627334356307983,0.4033859372138977
Mets_1,metastatic,metastatic,metastatic,0.22946785390377045,0.37358778715133667,0.3969443738460541
Mets_13,metastatic,metastatic,normal,0.1846374273300171,0.3616630434989929,0.4536994993686676
Mets_13,metastatic,metastatic,primary,0.18565793335437775,0.3708518147468567,0.44349023699760437
Mets_13,metastatic,metastatic,metastatic,0.1728200763463974,0.3857457637786865,0.44143417477607727
Mets_19,metastatic,metastatic,normal,0.2285342812538147,0.3585107922554016,0.41295498609542847
Mets_19,metastatic,metastatic,primary,0.24737189710140228,0.3441973328590393,0.40843069553375244
Mets_19,metastatic,metastatic,metastatic,0.24659426510334015,0.3663983941078186,0.38700732588768005
Mets_25,metastatic,metastatic,normal,0.15040524303913116,0.37933698296546936,0.47025784850120544
Mets_25,metastatic,metastatic,primary,0.1484665870666504,0.375847190618515,0.4756861925125122
Mets_25,metastatic,metastatic,metastatic,0.14068692922592163,0.3821753263473511,0.4771377146244049
Mets_26,metastatic,metastatic,normal,0.09641186892986298,0.301554411649704,0.6020336747169495
Mets_26,metastatic,metastatic,primary,0.10604634881019592,0.32292070984840393,0.5710329413414001
Mets_26,metastatic,metastatic,metastatic,0.09742862731218338,0.3341732919216156,0.568398118019104
Mets_34,metastatic,metastatic,normal,0.3414236307144165,0.38642463088035583,0.2721517086029053
Mets_34,metastatic,metastatic,primary,0.35062655806541443,0.3758028745651245,0.27357056736946106
Mets_34,metastatic,metastatic,metastatic,0.3431875705718994,0.38021910190582275,0.27659332752227783
Mets_37,metastatic,metastatic,normal,0.25428399443626404,0.3627495765686035,0.3829664885997772
Mets_37,metastatic,metastatic,primary,0.2739689350128174,0.3533723056316376,0.37265878915786743
Mets_37,metastatic,metastatic,metastatic,0.276266485452652,0.3518877923488617,0.37184572219848633
Mets_40,metastatic,metastatic,normal,0.17962713539600372,0.33444586396217346,0.48592710494995117
Mets_40,metastatic,metastatic,primary,0.20510821044445038,0.35364556312561035,0.44124624133110046
Mets_40,metastatic,metastatic,metastatic,0.21287178993225098,0.3560018539428711,0.43112632632255554
