model,accuracy,macro_f1,auc_roc_normal,auc_roc_primary,auc_roc_metastatic
XGBoost Baseline,0.9361702127659576,0.9249164578111944,0.9743589743589745,0.9586466165413534,0.9974747474747474
Multi-network GAT,0.9361702127659576,0.9229946524064172,0.983974358974359,0.9849624060150376,1.0
TabNet Baseline,0.7872340425531915,0.7020720409026255,0.9070512820512822,0.9154135338345865,0.9191919191919193
