source,target,source_type,target_type,edge_type,regulatory_type,weight,pearson_r,pearson_p,pearson_p_fdr,fdr_significant,miRDB_validated
hsa-miR-101,hsa-miR-374a,miRNA,miRNA,miRNA-miRNA,coexpression,0.9038524073738495,0.9038524073738495,1.3779895351077717e-12,3.67923205873775e-11,False,False
hsa-miR-106a+hsa-miR-17,PLAT,miRNA,mRNA,miRNA-mRNA,anticorrelation,-0.3309491666371234,-0.3309491666371234,0.06428875181529763,0.9988699114074102,False,False
hsa-miR-106a+hsa-miR-17,DLC1,miRNA,mRNA,miRNA-mRNA,anticorrelation,-0.2767436871521393,-0.2767436871521393,0.12519260594757559,0.9988699114074102,False,False
hsa-miR-106b,hsa-miR-532-5p,miRNA,miRNA,miRNA-miRNA,coexpression,0.9078212620596664,0.9078212620596664,7.523758867193614e-13,2.410612341048834e-11,False,False
hsa-miR-106b,hsa-miR-660,miRNA,miRNA,miRNA-miRNA,coexpression,0.906557601529772,0.906557601529772,9.14907605286943e-13,2.7344813128165725e-11,False,False
hsa-miR-106b,PLAT,miRNA,mRNA,miRNA-mRNA,anticorrelation,-0.3829622587456563,-0.3829622587456563,0.030509715505005326,0.9988699114074102,False,False
hsa-miR-106b,PTHLH,miRNA,mRNA,miRNA-mRNA,anticorrelation,-0.3823501909789378,-0.3823501909789378,0.030798823783890778,0.9988699114074102,False,False
hsa-miR-106b,DLC1,miRNA,mRNA,miRNA-mRNA,anticorrelation,-0.30393784368200627,-0.30393784368200627,0.09079827053917104,0.9988699114074102,False,False
hsa-miR-106b,TGFBI,miRNA,mRNA,miRNA-mRNA,anticorrelation,-0.2918702546320431,-0.2918702546320431,0.10504035464308713,0.9988699114074102,False,False
hsa-miR-106b,FGFR1,miRNA,mRNA,miRNA-mRNA,anticorrelation,-0.2837730348043398,-0.2837730348043398,0.11549934751503474,0.9988699114074102,False,False
hsa-miR-107,PLAT,miRNA,mRNA,miRNA-mRNA,anticorrelation,-0.39695287817155855,-0.39695287817155855,0.024481211828352563,0.9988699114074102,False,False
hsa-miR-107,DLC1,miRNA,mRNA,miRNA-mRNA,anticorrelation,-0.31309579353262423,-0.31309579353262423,0.08101205006439306,0.9988699114074102,False,False
hsa-miR-107,PTHLH,miRNA,mRNA,miRNA-mRNA,anticorrelation,-0.2857979978031021,-0.2857979978031021,0.1128137599609659,0.9988699114074102,False,False
hsa-miR-107,CCNE1,miRNA,mRNA,miRNA-mRNA,anticorrelation,-0.2797388316985597,-0.2797388316985597,0.12099139762397067,0.9988699114074102,False,False
hsa-miR-127-3p,PTHLH,miRNA,mRNA,miRNA-mRNA,anticorrelation,-0.40928534403196715,-0.40928534403196715,0.02001380860697127,0.9987088651399524,False,False
