source,target,source_type,target_type,edge_type,regulatory_type,weight,pearson_r,pearson_p,pearson_p_fdr,fdr_significant,miRDB_validated
EGR1,IGF1,mRNA,mRNA,mRNA-mRNA,coexpression,0.6315509754549126,0.6315509754549126,5.59009212734248e-06,9.25671169473916e-05,False,False
EGR1,IGFBP6,mRNA,mRNA,mRNA-mRNA,coexpression,0.5795289325923796,0.5795289325923796,4.6567301073535694e-05,0.0005196640844438041,False,False
EPS8,PDGFRB,mRNA,mRNA,mRNA-mRNA,coexpression,0.7627312963444954,0.7627312963444954,2.771916895400682e-09,2.511030599362971e-07,False,False
EPS8,JUN,mRNA,mRNA,mRNA-mRNA,coexpression,0.6708087299591772,0.6708087299591772,8.55825614712823e-07,1.9671215621757423e-05,False,False
EPS8,PLAT,mRNA,mRNA,mRNA-mRNA,coexpression,0.6680133904754205,0.6680133904754205,9.872013410888507e-07,2.141253613065958e-05,False,False
EPS8,FGFR1,mRNA,mRNA,mRNA-mRNA,coexpression,0.6141627820235129,0.6141627820235129,1.184264870425952e-05,0.000163456997162145,False,False
EPS8,TIMP2,mRNA,mRNA,mRNA-mRNA,coexpression,0.610717764409933,0.610717764409933,1.3669462019686389e-05,0.0001830519261766699,False,False
EPS8,TIMP3,mRNA,mRNA,mRNA-mRNA,coexpression,0.5978788387987829,0.5978788387987829,2.299457288264756e-05,0.0002810447796768035,False,False
EPS8,MMP2,mRNA,mRNA,mRNA-mRNA,coexpression,0.5720469993352744,0.5720469993352744,6.135148830416631e-05,0.0006427298774722185,False,False
ETS1,LCK,mRNA,mRNA,mRNA-mRNA,coexpression,0.8332846858407598,0.8332846858407598,4.115997467788593e-12,1.5897160360034532e-09,False,False
ETS1,TNFRSF1B,mRNA,mRNA,mRNA-mRNA,coexpression,0.8037049888085365,0.8037049888085365,8.678776826024963e-11,1.6706645390098054e-08,False,False
ETS1,FLT3,mRNA,mRNA,mRNA-mRNA,coexpression,0.6024654272986433,0.6024654272986433,1.9145028839233926e-05,0.0002416667574788545,False,False
ETV6,TGFA,mRNA,mRNA,mRNA-mRNA,coexpression,0.6724590609025985,0.6724590609025985,7.860669480598511e-07,1.8720673260107238e-05,False,False
FGFR1,TIMP2,mRNA,mRNA,mRNA-mRNA,coexpression,0.6967606821253286,0.6967606821253286,2.106211767169385e-07,6.757429419668444e-06,False,False
FGFR1,JUN,mRNA,mRNA,mRNA-mRNA,coexpression,0.6895415324164196,0.6895415324164196,3.1560282144363717e-07,9.34669894275387e-06,False,False
FGFR1,PDGFRB,mRNA,mRNA,mRNA-mRNA,coexpression,0.6844245886870556,0.6844245886870556,4.174732285275593e-07,1.0896758846312565e-05,False,False
FGFR1,MMP14,mRNA,mRNA,mRNA-mRNA,coexpression,0.67235859343956,0.67235859343956,7.901582869525782e-07,1.8720673260107238e-05,False,False
FGFR1,PDGFRA,mRNA,mRNA,mRNA-mRNA,coexpression,0.582446838199338,0.582446838199338,4.1742914053223e-05,0.00047838963083471624,False,False
FLT3,LCK,mRNA,mRNA,mRNA-mRNA,coexpression,0.7197266100625717,0.7197266100625717,5.359463281672387e-08,2.583821845116984e-06,False,False
FOS,IGF1,mRNA,mRNA,mRNA-mRNA,coexpression,0.7017452427899228,0.7017452427899228,1.5820702549522164e-07,5.666019052619566e-06,False,False
FOS,IGFBP6,mRNA,mRNA,mRNA-mRNA,coexpression,0.6921855244856293,0.6921855244856293,2.72520382340569e-07,8.393627776089526e-06,False,False
FOS,TIMP3,mRNA,mRNA,mRNA-mRNA,coexpression,0.579841073643191,0.579841073643191,4.602794972308638e-05,0.0005173944713398031,False,False
GAS1,TGFBI,mRNA,mRNA,mRNA-mRNA,coexpression,0.7129744949889153,0.7129744949889153,8.124468072292461e-08,3.475466897591775e-06,False,False
GAS1,MMP14,mRNA,mRNA,mRNA-mRNA,coexpression,0.7083172517826076,0.7083172517826076,1.0751405014123993e-07,4.038332615061208e-06,False,False
GAS1,S100A4,mRNA,mRNA,mRNA-mRNA,coexpression,0.6655429364042772,0.6655429364042772,1.1186034342769962e-06,2.3925684566480195e-05,False,False
GAS1,PDGFRB,mRNA,mRNA,mRNA-mRNA,coexpression,0.6279477218647492,0.6279477218647492,6.555603850410232e-06,0.00010407865906836865,False,False
GAS1,TIMP3,mRNA,mRNA,mRNA-mRNA,coexpression,0.620606076152854,0.620606076152854,9.01416974971995e-06,0.00013237232896948106,False,False
GAS1,MMP2,mRNA,mRNA,mRNA-mRNA,coexpression,0.6152522141595084,0.6152522141595084,1.1313400511724088e-05,0.00015838760716413726,False,False
GAS1,IGFBP6,mRNA,mRNA,mRNA-mRNA,coexpression,0.6115185022056215,0.6115185022056215,1.3223170453751512e-05,0.0001802095796351976,False,False
GAS1,TIMP2,mRNA,mRNA,mRNA-mRNA,coexpression,0.6064149722861295,0.6064149722861295,1.631344752813122e-05,0.000214724010199334,False,False
GAS1,PDGFRA,mRNA,mRNA,mRNA-mRNA,coexpression,0.5934821379373051,0.5934821379373051,2.733764906127401e-05,0.00032890609026845293,False,False
GAS1,IGF1,mRNA,mRNA,mRNA-mRNA,coexpression,0.5767855135906848,0.5767855135906848,5.156170583880005e-05,0.0005552799090332313,False,False
IGF1,IGFBP6,mRNA,mRNA,mRNA-mRNA,coexpression,0.7946163933314861,0.7946163933314861,2.0000582450646445e-10,3.080089697399552e-08,False,False
IGF1,MMP2,mRNA,mRNA,mRNA-mRNA,coexpression,0.6913022486407986,0.6913022486407986,2.8626454808940904e-07,8.644066746229216e-06,False,False
